TVD below T-D Datum(meters),TWT(msec)
0.00,0.00
374.00,505.40
1328.00,1354.00
1517.00,1518.00
1537.00,1536.80
1557.00,1554.80
1577.00,1574.20
1597.00,1593.60
1617.00,1612.60
1637.00,1630.60
1657.00,1648.80
1677.00,1668.80
1697.00,1687.40
1737.00,1720.80
1757.00,1740.40
1777.00,1759.00
1797.00,1776.00
1817.00,1798.80
1837.00,1819.60
1857.00,1841.20
1877.00,1858.60
1897.00,1876.60
1917.00,1895.00
1937.00,1914.80
1957.00,1932.20
1977.00,1950.00
1997.00,1969.80
2017.00,1987.80
2037.00,2004.60
2057.00,2020.20
2077.00,2037.80
2097.00,2053.40
2117.00,2069.60
2137.00,2086.40
2157.00,2103.00
2177.00,2120.00
2197.00,2136.00
2217.00,2152.20
2237.00,2168.40
2257.00,2182.40
2277.00,2196.00
2297.00,2209.40
2317.00,2227.60
2337.00,2241.60
2357.00,2258.60
2377.00,2275.40
2397.00,2289.80
2417.00,2306.40
2437.00,2322.00
2457.00,2337.00
2477.00,2353.20
2497.00,2368.80
2517.00,2382.60
2527.00,2387.40
2537.00,2395.60
2547.00,2401.20
2557.00,2407.40
2567.00,2414.20
2577.00,2420.80
2587.00,2428.20
2597.00,2434.40
2607.00,2442.20
2617.00,2449.60
2627.00,2454.80
2637.00,2462.20
2647.00,2466.60
2657.00,2474.80
2667.00,2479.60
2677.00,2487.60
2687.00,2492.80
2697.00,2498.00
2707.00,2503.80
2717.00,2509.80
2727.00,2515.00
2737.00,2520.20
2747.00,2527.40
2757.00,2532.00
2767.00,2538.80
2777.00,2543.80
2787.00,2551.00
2797.00,2555.40
2807.00,2562.20
2817.00,2567.20
2827.00,2573.60
2837.00,2578.80
2847.00,2582.60
2857.00,2589.20
2867.00,2595.00
2877.00,2600.60
2887.00,2605.80
2897.00,2612.80
2907.00,2617.40
2917.00,2624.20
2927.00,2630.40
2937.00,2636.40
2947.00,2642.00
2957.00,2649.20
2967.00,2654.00
2977.00,2660.00
2987.00,2665.00
2997.00,2671.20
3007.00,2677.00
3017.00,2680.20
3027.00,2687.60
3037.00,2693.80
3047.00,2698.60
3057.00,2702.80
3067.00,2708.80
3077.00,2715.00
3087.00,2720.40
3097.00,2725.40
3107.00,2733.40
3117.00,2739.40
3127.00,2745.00
3137.00,2750.40
3147.00,2756.40
3157.00,2763.20
3167.00,2768.00
3177.00,2775.60
3187.00,2781.40
3197.00,2785.00
3207.00,2791.20
3217.00,2796.60
3227.00,2802.80
3237.00,2809.00
3247.00,2813.60
3257.00,2822.40
3267.00,2827.20
3277.00,2835.20
3287.00,2841.60
3297.00,2847.40
3307.00,2854.20
3317.00,2859.00
3327.00,2864.20
3337.00,2869.40
3347.00,2875.80
3357.00,2880.40
3367.00,2886.00
3377.00,2892.20
3387.00,2896.80
3397.00,2901.80
3407.00,2907.20
3417.00,2911.80
3427.00,2919.00
3437.00,2922.40
3447.00,2927.20
3457.00,2931.40
3467.00,2938.60
3477.00,2941.40
3487.00,2946.20
3497.00,2953.00
3507.00,2957.60
3517.00,2960.80
3527.00,2964.60
3537.00,2971.60
3547.00,2977.00
3557.00,2981.60
3567.00,2986.20
3577.00,2991.80
3587.00,2996.40
3597.00,3001.20
3607.00,3005.60
3617.00,3011.20
3627.00,3015.00
3637.00,3020.00